Timestamp,Email address,First Name,Last Name,Mobile Number,Nationality,LinkedIn Profile,Please upload your current CV or Resume,"In addition to your data skills, do you have any particular domain expertise?",I'm interested in becoming a,Diagnostic Exam Score: [Programming with Python],Diagnostic Exam Score: [Data Processing with Numpy/Pandas],"Diagnostic Exam Score: [Data Visualization in Python (Matplotlib, Seaborn, Bokeh)]","Diagnostic Exam Score: [Web Scraping (beautiful-soup, scrapy)]","Diagnostic Exam Score: [Web Development (Java, Scala)]","Diagnostic Exam Score: [Database Structures (SQL,BigQuery, Mapreduce, Apachebeam, Hadoop, Spark, Kafka, etc.)]","Diagnostic Exam Score: [Data engineering processes (ETL, Cloud)]","Diagnostic Exam Score: [Core machine learning math and stats (ANOVA, linear algebra, gradient descent, time series analysis)]",Diagnostic Exam Score: [Graph and Network Theory],"Diagnostic Exam Score: [Machine Learning Process (Feature Engineering, Cross-validation, Train-Test Split)]",Diagnostic Exam Score: [Supervised Machine Learning],Diagnostic Exam Score: [Unsupervised Machine Learning],Diagnostic Exam Score: [Deep learning (artificial neural networks)],Diagnostic Exam Score: [Geospatial data analysis],Diagnostic Exam Score: [Agile/Scrum],"Diagnostic Exam Score: [Intermediate Excel (INDEX/MATCH, text formulas, pivot tables)]","Diagnostic Exam Score: [Advanced Excel (Macros, VBA)]",Diagnostic Exam Score: [PowerBI],Diagnostic Exam Score: [SQL],Diagnostic Exam Score: [Analytical frameworks],"Diagnostic Exam Score: [Descriptive statistics (Mean/Median/Mode, SD, SE, r, etc.)]",Diagnostic Exam Score: [Making and designing beautiful visuals and slides],Diagnostic Exam Score: [Storytelling and presentation],Diagnostic Exam Score: [Financial analysis],Diagnostic Exam Score: [Project management],Diagnostic Exam Score: [Programming with Python],Diagnostic Exam Score: [Data Processing with Numpy/Pandas],"Diagnostic Exam Score: [Data Visualization in Python (Matplotlib, Seaborn, Bokeh)]","Diagnostic Exam Score: [Web Scraping (beautiful-soup, scrapy)]","Diagnostic Exam Score: [Web Development (Java, Scala)]","Diagnostic Exam Score: [Database Structures (SQLBigQuery, Mapreduce, Apachebeam, Hadoop, Spark, Kafka, etc.)]","Diagnostic Exam Score: [Data engineering processes (ETL, Cloud)]","Diagnostic Exam Score: [Core machine learning math and stats (ANOVA, linear algebra, gradient descent, time series analysis)]",Diagnostic Exam Score: [Graph and Network Theory],"Diagnostic Exam Score: [Machine Learning Process (Feature Engineering, Cross-validation, Train-Test Split)]",Diagnostic Exam Score: [Supervised Machine Learning],Diagnostic Exam Score: [Unsupervised Machine Learning],Diagnostic Exam Score: [Deep learning (artificial neural networks)],Diagnostic Exam Score: [Geospatial data analysis],Diagnostic Exam Score: [Agile/Scrum],"Diagnostic Exam Score: [Intermediate Excel (INDEX/MATCH, text formulas, pivot tables)]","Diagnostic Exam Score: [Advanced Excel (Macros, VBA)]",Diagnostic Exam Score: [PowerBI],Diagnostic Exam Score: [SQL],Diagnostic Exam Score: [Analytical frameworks],"Diagnostic Exam Score: [Descriptive statistics (Mean/Median/Mode, SD, SE, r, etc.)]",Diagnostic Exam Score: [Making and designing beautiful visuals and slides],Diagnostic Exam Score: [Storytelling and presentation],Diagnostic Exam Score: [Financial analysis],Diagnostic Exam Score: [Project management],What is your highest educational attainment? ,Please list your last degree and the institution in which you obtained it,What is your current job title?,Where are you currently working?,"Do you have other commitments which are similar to mentoring or being an instructor in the field of Data Literacy, Data Analytics, or Data Science?",Which industry does your current company belong to? ,How many years of relevant data related experience do you have? ,Why are you interested in applying to this role?,What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Monday],What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Tuesday],What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Wednesday],What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Thursday],What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Friday],What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Saturday],What schedule are you available for the next 6 months to teach a class in the Philippine Time zone in [GMT+8]? (Please check all that may apply) [Sunday],How did you learn about this role?,Do you have any questions for us?,Did you have prior Eskwelabs Interactions?,What is your previous interaction with Eskwelabs?,Average Mentor CSAT,Average Instructor CSAT,Red Flags?,Pool Status
26/08/2021 10:36:15,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,37.22083441,65.25161413,96.27787097,31.81160625,60.96017293,44.63074522,104.9694033,49.82103099,68.88176963,62.81146272,40.57935752,88.59638181,38.99690781,36.42796998,60.97856772,30.19701359,24.7756301,59.8438758,38.54810363,57.75083447,27.646592,39.06356805,71.7889596,84.67608914,25.49639413,51.16612101,86.21310729,3.924205792,46.40635245,61.96248947,66.2086525,40.37817136,51.58954902,84.33271064,52.51166678,49.07702248,63.66651712,60.97107543,32.34682043,51.28796474,47.44512313,25.03695757,48.11224675,49.98507595,71.24794045,30.21384347,12.44510223,52.4234021,44.88342004,22.29889523,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Morning Shift (7am to 12nn),Afternoon Shift (1pm to 6pm),Afternoon Shift (1pm to 6pm),Afternoon Shift (1pm to 6pm),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),,redacted,redacted,"No, this is my first time to know about Eskwelabs",redacted,8.68,5.78,No,Active
26/08/2021 10:44:19,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,58.62030361,56.80499766,21.45591676,32.278344,61.93189122,12.83424957,29.54271334,26.80199906,64.46353484,84.46688411,105.524844,34.33087502,54.41645536,9.767160206,74.0417589,28.12161682,69.32340782,82.69070352,85.81109534,19.53255115,55.7482952,62.64523322,36.04596579,33.9544168,42.5314263,34.44157642,23.50434697,42.17945273,53.44992822,41.80043976,65.89204884,34.54107902,29.24948216,52.6396385,58.64424671,54.77352779,51.84471282,57.37342405,49.76136852,54.48558612,42.33999477,59.44867579,63.69907728,67.52663367,56.20268487,59.55884577,53.87526012,36.02453551,53.09365172,36.05948828,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),,redacted,redacted,Yes,redacted,8.74,,No,Active
26/08/2021 10:47:30,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,32.1249728,66.60215303,30.59464131,33.41219316,42.17294126,41.17566491,60.05812753,57.03588383,37.74149866,49.77983502,19.65703008,55.4063439,33.4529441,61.30955044,82.04559288,76.42750383,41.45084005,69.14007623,60.15804119,38.70600905,29.97589037,42.50932415,65.0790086,41.71707677,31.18830908,84.345277,54.23432625,44.4175304,50.80737713,38.28887241,30.27685525,108.2215582,21.39811634,46.7887047,39.12377645,63.00687481,36.7528089,42.32590705,50.37726518,45.7379045,61.5179998,44.32196912,47.85958255,59.31949109,40.4934997,58.25353145,-12.99794042,82.78287487,54.30902112,21.85494206,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),,redacted,redacted,Yes,redacted,5.58,,No,Active
44356.74529,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,34.37412228,51.49783145,71.39468731,68.05665705,62.37374361,32.71026276,56.87453138,64.01170656,33.44778231,51.02112763,52.69577067,51.94571624,29.89980771,43.55845837,26.00320897,49.83432821,63.99323479,40.40953698,27.02377465,77.56739273,73.39302962,64.49471063,50.73436564,76.0335627,50.12849546,45.14977147,50.13710189,41.47704304,23.65612332,27.60524335,55.01166087,58.11431686,39.52046131,41.25171706,33.23057078,56.07961727,41.72340366,57.28576898,27.60508489,25.98033972,78.38755731,61.1347774,36.23523854,53.07627847,51.33371921,24.311524,63.59513256,68.35559487,21.14005404,68.02177184,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),"Morning Shift (7am to 12nn), Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm","Morning Shift (7am to 12nn), Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm",redacted,redacted,Yes,redacted,8.61,,No,Active
44356.74568,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,19.95405511,35.47745445,32.34592709,54.6191847,65.81901526,52.00819275,42.45683685,70.47213841,8.804037583,7.466717644,54.79606003,15.7765073,39.04840924,65.19610809,55.65490164,51.36024282,62.2369276,58.9154084,58.76327369,26.29636762,62.35213324,81.96375178,83.3889388,37.90359143,52.59629756,41.05631765,50.32652331,47.03130032,32.15589709,26.64216253,38.69490935,42.77559001,11.00346205,17.97402577,40.02412651,22.64072376,90.35511451,34.57468548,48.009917,66.97615611,17.25029372,33.94175856,42.28570635,73.04613609,26.83272616,71.58800934,51.32919284,32.46855718,50.29436341,82.44010776,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Not available for the whole day,Not available for the whole day,Not available for the whole day,Not available for the whole day,Not available for the whole day,"Morning Shift (7am to 12nn), Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm","Morning Shift (7am to 12nn), Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm",redacted,redacted,"No, this is my first time to know about Eskwelabs",redacted,8.81,,No,Active
44356.75736,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,80.46867615,52.28414764,62.67219481,46.97485275,51.6991588,55.80943797,72.7844161,43.98695852,25.21849671,31.05655807,64.84810998,57.14742843,52.63145506,44.26880526,50.05537026,51.78389582,83.90022282,32.49109009,52.66642886,42.10493349,21.73463349,44.87148792,64.32981321,39.62886659,58.94758107,77.12433233,17.80409091,25.93586466,39.73803609,27.24049195,49.06590341,68.23005188,29.96843346,53.00312835,53.53367974,34.93894445,-4.701514558,58.56755867,53.69841288,48.07465835,66.07687009,37.65252468,58.32105585,57.521231,89.52706445,57.00572383,71.15564179,12.89906494,56.77463177,43.54156674,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),Morning Shift (7am to 12nn),redacted,redacted,"No, this is my first time to know about Eskwelabs",redacted,8.56,8.45,No,Active
44356.77394,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,20.70365944,72.28332005,68.38751154,38.9716262,85.32034293,24.33569913,68.30335339,31.0363321,51.47269546,44.91658202,79.27901411,50.9383076,42.5239502,22.52944072,70.04941067,45.90600444,39.15181102,42.7591946,63.93922726,37.72830895,33.23850221,77.85065107,36.06973359,13.24606163,80.53814633,91.54475124,26.59066031,56.36835328,33.77638391,69.86847949,79.88803955,63.96518256,27.42756134,25.10024194,51.64592951,40.35470325,87.97802594,22.33284288,34.99927976,81.82370952,61.93625521,41.83780673,53.19287412,35.25317185,32.71786445,52.3704576,58.50066234,60.49993019,24.71702359,33.09812905,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Not available for the whole day,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Not available for the whole day,redacted,redacted,Yes,redacted,9.76,,No,Inactive
44356.782,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,43.24681777,45.17888178,25.04572372,46.84997604,31.94603855,66.18995279,54.06755266,72.98336971,40.20851777,56.33198166,68.07695517,52.65013677,65.95437135,62.19801112,86.72620607,52.89244681,55.6952926,48.35004282,58.08352353,66.06791774,72.82856287,33.46539205,69.26833891,47.15371145,27.5639846,52.92566446,37.12790559,26.29452239,61.25175929,61.33022358,32.00966087,18.33389545,45.83926083,23.75367437,38.05303893,75.49990412,82.21649612,73.06843011,67.96435483,69.0658492,73.29769838,53.19238767,57.06404412,33.74540253,43.62467803,47.71898757,40.57568234,73.95509037,49.11858113,67.59493691,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Morning Shift (7am to 12nn),Afternoon Shift (1pm to 6pm),Afternoon Shift (1pm to 6pm),Afternoon Shift (1pm to 6pm),Morning Shift (7am to 12nn),Not available for the whole day,Not available for the whole day,redacted,redacted,"No, this is my first time to know about Eskwelabs",redacted,9.53,,No,Active
44356.80236,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,83.81299602,40.92488154,22.13639484,71.44118215,18.24461419,22.31519017,66.18994341,52.94054422,31.15757999,83.62914973,56.63635221,32.27450228,38.92866612,86.51104911,64.09338437,88.40974501,40.53187537,52.43281771,46.81631558,46.38071589,44.23012926,33.07566611,86.69120985,72.39444871,47.53750552,35.97764782,65.02603645,59.83532606,19.9734779,39.92930873,43.50325054,36.82853963,37.80175531,79.17234605,82.92070843,13.43652043,25.606319,32.99745833,17.67277749,50.313866,29.29036246,30.59096145,36.84470708,44.5984341,28.1461038,25.95194164,76.5986994,49.19862122,21.50067643,42.58318888,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,"Morning Shift (7am to 12nn), Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm","Morning Shift (7am to 12nn), Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm",redacted,redacted,"No, this is my first time to know about Eskwelabs",redacted,9.6,,No,Active
44356.90765,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,94.09917338,62.44499773,37.78650047,42.66524813,16.13247126,68.25773627,50.23115703,69.57239187,48.09414207,53.83718154,90.72236661,72.1276607,55.61077243,47.96547034,86.58034765,49.47978258,65.88576167,41.86951671,59.50456324,66.31594057,64.46906981,63.86164535,64.49633672,45.13679074,62.25169483,0.915048458,79.11508239,28.18343662,32.88403655,39.74366332,18.0982284,36.67645581,57.54704495,101.6372903,18.53544359,80.48665374,-22.36864345,34.49618683,76.46580374,58.28622451,70.44099307,33.12304865,13.38495425,52.64008345,44.57675664,67.21373764,57.79310782,41.37384405,31.07410871,48.4331055,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,Not available for the whole day,Not available for the whole day,Evening Shift (6pm to 9pm,Evening Shift (6pm to 9pm,Not available for the whole day,"Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm","Afternoon Shift (1pm to 6pm), Evening Shift (6pm to 9pm",redacted,redacted,"No, this is my first time to know about Eskwelabs",redacted,9.67,,No,Inactive
